         3411122 function calls (3342073 primitive calls) in 14.481 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <attrs generated init rasterio.windows.Window>:1(<module>)
41120/7931    0.033    0.000    2.852    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
     7309    0.019    0.000    0.021    0.000 <frozen importlib._bootstrap>:103(release)
     3631    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:143(__init__)
     3631    0.005    0.000    0.103    0.000 <frozen importlib._bootstrap>:147(__enter__)
     3631    0.004    0.000    0.018    0.000 <frozen importlib._bootstrap>:151(__exit__)
     7309    0.026    0.000    0.037    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     3738    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap>:176(cb)
     3678    0.006    0.000    0.034    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
  4949/10    0.003    0.000    3.545    0.354 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    27058    0.013    0.000    0.013    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
     3054    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:307(__init__)
     3054    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:311(__enter__)
     3054    0.010    0.000    0.019    0.000 <frozen importlib._bootstrap>:318(__exit__)
    12182    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
     2887    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:35(_new_module)
     4116    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:369(__init__)
     5933    0.006    0.000    0.047    0.000 <frozen importlib._bootstrap>:403(cached)
     5842    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap>:416(parent)
     3054    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:424(has_location)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
     3054    0.018    0.000    0.083    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
3054/3048    0.007    0.000    0.365    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
     3738    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap>:58(__init__)
    23/22    0.000    0.000    0.030    0.001 <frozen importlib._bootstrap>:634(_load_backward_compatible)
  3077/11    0.018    0.000    3.547    0.322 <frozen importlib._bootstrap>:663(_load_unlocked)
        2    0.000    0.000    0.116    0.058 <frozen importlib._bootstrap>:686(_load)
     3557    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:719(find_spec)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:740(create_module)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(exec_module)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(is_package)
     7309    0.080    0.000    0.081    0.000 <frozen importlib._bootstrap>:78(acquire)
     3551    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap>:792(find_spec)
    12349    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap>:855(__enter__)
    12349    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap>:859(__exit__)
     1690    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:873(_find_spec_legacy)
     3557    0.035    0.000    0.344    0.000 <frozen importlib._bootstrap>:882(_find_spec)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:929(_sanity_check)
   3610/9    0.019    0.000    3.550    0.394 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
   3629/9    0.024    0.000    3.550    0.394 <frozen importlib._bootstrap>:978(_find_and_load)
    32/16    0.000    0.000    2.009    0.126 <frozen importlib._bootstrap>:994(_gcd_import)
      161    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
  161/159    0.001    0.000    0.269    0.002 <frozen importlib._bootstrap_external>:1040(create_module)
  161/112    0.001    0.000    0.199    0.002 <frozen importlib._bootstrap_external>:1048(exec_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1087(_find_parent_path_names)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1097(_get_parent_path)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1101(_recalculate)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1114(__iter__)
      372    0.005    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
     4576    0.005    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
3552/3551    0.015    0.000    0.281    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
     3551    0.004    0.000    0.285    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      373    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
     2984    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
      547    0.001    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:1339(find_loader)
     3048    0.006    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
     4897    0.063    0.000    0.286    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
      373    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
      373    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
     5774    0.025    0.000    0.060    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
     3046    0.007    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
     4897    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
     2887    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      547    0.001    0.000    0.051    0.000 <frozen importlib._bootstrap_external>:421(_find_module_shim)
     2887    0.009    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
     2887    0.005    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
     8661    0.005    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
     2887    0.010    0.000    0.353    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
    30814    0.031    0.000    0.078    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
     3048    0.012    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
    30814    0.026    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     5774    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
     2887    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:719(create_module)
  2887/11    0.010    0.000    3.546    0.322 <frozen importlib._bootstrap_external>:722(exec_module)
